name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Matto Grosso,2021-06-01,19,13,15.1,19,13,15.1,8.1,63.89,0,,0,,,,,22.4,325.3,1009.3,83.7,10.6,,,0,,2021-06-01T07:43:55,2021-06-01T17:41:34,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-02,14,9.3,12.2,14,9.3,12.2,9.4,83.33,0.01,,4.17,,,,,20.1,258.7,1012.7,52.2,11.6,,,0,,2021-06-02T07:44:31,2021-06-02T17:41:18,0.76,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-03,17.1,5.3,10.9,17.1,3.7,10.8,6.6,76.76,0,,0,,,,,24.1,177.4,1015.8,48.9,11.4,,,0,,2021-06-03T07:45:05,2021-06-03T17:41:04,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-04,18.7,13,16,18.7,13,16,12.9,82.51,24,,4.17,,,,,18,230,1010.8,73.7,9.3,,,0,,2021-06-04T07:45:39,2021-06-04T17:40:51,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-05,14.4,9,13,14.4,9,13,12.2,95.08,43.38,,12.5,,,9,,24.2,184.1,1013.3,81.8,7.2,,,0,,2021-06-05T07:46:12,2021-06-05T17:40:41,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-06,13.8,6.9,10.4,13.8,6.9,10.4,7.7,84.36,0,,0,,,0,,16.4,164.4,1022,37.1,10.5,,,0,,2021-06-06T07:46:44,2021-06-06T17:40:31,0.94,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-07,15.9,5.1,10.7,15.9,2.6,10.4,8.3,86.26,0,,0,,,,,20.2,84.2,1023.2,59.5,10.7,,,0,,2021-06-07T07:47:14,2021-06-07T17:40:23,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-08,17.2,10.1,14,17.2,10.1,14,11.5,85.29,0,,0,,,,,20.9,60.6,1021.4,83.8,10.6,,,0,,2021-06-08T07:47:44,2021-06-08T17:40:17,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-09,18.4,15,16.7,18.4,15,16.7,14.5,86.78,1,,4.17,,,,,24.9,54.2,1019.4,91,11.2,,,0,,2021-06-09T07:48:13,2021-06-09T17:40:13,1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-10,16.1,11.9,14.4,16.1,11.9,14.4,13.3,93.29,0.01,,4.17,,,0,,21.8,200.7,1017.8,72.1,6.6,,,0,,2021-06-10T07:48:40,2021-06-10T17:40:10,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-11,12.7,9.3,10.9,12.7,7.2,10.5,3.9,62.13,0,,0,,,,,22.1,262,1019.7,48.2,12.1,,,0,,2021-06-11T07:49:07,2021-06-11T17:40:08,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-12,20.9,8,13.8,20.9,6,13.3,8.8,72.48,0,,0,,,,,18.9,313.2,1015.8,16.2,11.9,,,0,,2021-06-12T07:49:32,2021-06-12T17:40:08,0.02,Clear,Clear conditions throughout the day.,clear-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-13,20.4,11.2,15.5,20.4,11.2,15.5,12.4,82.59,0,,0,,,,,20.6,194.7,1017.8,0.2,11.4,,,0,,2021-06-13T07:49:56,2021-06-13T17:40:10,0.04,Clear,Clear conditions throughout the day.,clear-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-14,17,9.2,13,17,8.4,13,9.8,81.37,0,,0,,,,,22.5,197.1,1019.6,42.6,10.6,,,0,,2021-06-14T07:50:19,2021-06-14T17:40:13,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-15,12.4,8,10.6,12.4,6.5,10.1,5.8,72.54,0,,0,,,,,24.5,206,1026.6,41.8,12.3,,,0,,2021-06-15T07:50:40,2021-06-15T17:40:18,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-16,11.8,8.4,9.8,11.8,6.1,8.9,3.4,64.38,0,,0,,,,,22.2,179.1,1028.8,76,11.6,,,0,,2021-06-16T07:51:00,2021-06-16T17:40:24,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-17,11.1,6.2,9.2,11.1,6.2,8.7,3.3,66.75,0,,0,,,,,18.7,165,1029,61,12,,,0,,2021-06-17T07:51:19,2021-06-17T17:40:32,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-18,11,2.1,6.9,11,2.1,6.7,3.3,79.6,0,,0,,,,,12.9,111.9,1028.8,32.5,10.4,,,0,,2021-06-18T07:51:37,2021-06-18T17:40:41,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-19,12,2.9,8.5,12,2.9,8.2,5.5,81.91,0,,0,,,,,17.2,105.7,1027.3,66.8,9.7,,,0,,2021-06-19T07:51:53,2021-06-19T17:40:51,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-20,12.9,5.1,8.7,12.9,4,8.5,5.3,80.84,0,,0,,,,,11.9,91.4,1024.2,26.2,11.1,,,0,,2021-06-20T07:52:08,2021-06-20T17:41:03,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
Matto Grosso,2021-06-21,14,4.4,8.8,14,4.4,8.5,5.4,80.71,0,,0,,,,,16.1,46,1023.9,53.8,9.2,,,0,,2021-06-21T07:52:21,2021-06-21T17:41:17,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SUAA,86580099999,SUMU,86550199999,86585099999,86575099999"
