name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Brazil,2020-01-01,24.7,19.1,21.4,24.7,19.1,21.5,17.9,80.88,0,,0,,,,,11.5,273.5,1012,6.9,10.6,,,0,,2020-01-01T05:43:43,2020-01-01T18:46:26,0.17,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-02,26.6,18.2,22.1,26.6,18.2,22.2,18.3,79.93,0,,0,,,,,13.4,285,1011.9,10.2,10.4,,,0,,2020-01-02T05:44:18,2020-01-02T18:46:47,0.22,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-03,27.6,18.7,21.8,28.5,18.7,21.8,18.4,82.28,0,,0,,,,,14.5,314.4,1012.4,7.9,10.9,,,0,,2020-01-03T05:44:54,2020-01-03T18:47:07,0.26,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-04,25.1,19.2,20.5,25.1,19.2,20.6,18.6,89.29,0,,0,,,,,22.3,325.5,1012.3,8.5,8.8,,,0,,2020-01-04T05:45:29,2020-01-04T18:47:26,0.31,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-05,22.1,17.7,19.1,22.1,17.7,19.2,18.1,93.91,0,,0,,,,,12.6,315.1,1012.8,5.5,7,,,0,,2020-01-05T05:46:05,2020-01-05T18:47:44,0.36,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-06,25.1,18.7,21.1,25.1,18.7,21.2,18.1,83.43,0,,0,,,,,19.5,315,1013.3,7.9,10.6,,,0,,2020-01-06T05:46:41,2020-01-06T18:48:01,0.4,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-07,26.7,19.1,22.5,27.7,19.1,22.5,18.4,79.1,0,,0,,,,,15.9,325.1,1013.9,5.5,10.7,,,0,,2020-01-07T05:47:17,2020-01-07T18:48:17,0.44,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-08,26.6,19.7,22.9,26.6,19.7,22.9,18.9,79.54,0,,0,,,,,11.5,266.7,1013.9,10.3,10.9,,,0,,2020-01-08T05:47:53,2020-01-08T18:48:32,0.47,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-09,26.1,18.2,21.3,26.1,18.2,21.3,18.8,86.28,0,,0,,,,,20.9,252.8,1015.1,9.4,10.4,,,0,,2020-01-09T05:48:29,2020-01-09T18:48:46,0.49,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-10,29.2,18.2,23.6,29.9,18.2,23.8,18.3,74.45,0,,0,,,,,11.5,135.8,1013,10.8,10.9,,,0,,2020-01-10T05:49:05,2020-01-10T18:48:59,0.5,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-11,29.6,18.7,25,30.1,18.7,25.1,16.7,63.5,0,,0,,,,,14.8,99.8,1012.2,12.8,10.7,,,0,,2020-01-11T05:49:42,2020-01-11T18:49:11,0.51,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-12,30.6,17.6,24.5,29.3,17.6,24.2,14.6,58.21,0,,0,,,,,10.4,130.3,1013.4,4.3,10.9,,,0,,2020-01-12T05:50:18,2020-01-12T18:49:21,0.52,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86736099999,86716099999"
Brazil,2020-01-13,32,18.2,25.2,31,18.2,24.9,15.1,57.53,0,,0,,,,,16.6,169.7,1013.9,11.3,10.9,,,0,,2020-01-13T05:50:54,2020-01-13T18:49:31,0.55,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-14,30.7,20.2,25.4,29.6,20.2,25.3,16.2,59.77,0,,0,,,,,12.3,142.7,1012.5,5.6,10.9,,,0,,2020-01-14T05:51:30,2020-01-14T18:49:39,0.59,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-15,30.2,19.1,25,30.2,19.1,25,16,59.85,0,,0,,,,,13.8,113.2,1012.2,0.4,10.9,,,0,,2020-01-15T05:52:06,2020-01-15T18:49:46,0.64,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-16,30.7,20.6,25.3,30.5,20.6,25.3,16.4,59.85,0,,0,,,,,12.7,113,1014,3.2,10.9,,,0,,2020-01-16T05:52:42,2020-01-16T18:49:52,0.69,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-17,28.7,19.6,24.1,29.4,19.6,24.3,17.1,66.37,0,,0,,,,,14.4,143.7,1015,4.8,10.7,,,0,,2020-01-17T05:53:18,2020-01-17T18:49:57,0.75,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-18,26.1,18.7,22.1,26.1,18.7,22.2,18.3,79.49,0,,0,,,,,17.3,133.2,1015.9,5.4,10.9,,,0,,2020-01-18T05:53:53,2020-01-18T18:50:00,0.81,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-19,30.1,18.2,23.8,30,18.2,23.9,17.8,71.75,0,,0,,,,,13.7,167.6,1013.6,1.6,10.9,,,0,,2020-01-19T05:54:28,2020-01-19T18:50:03,0.86,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-20,28.2,19.6,23.6,29.4,19.6,23.8,18.9,76.73,0,,0,,,,,12.7,274,1011.7,10.8,10.9,,,0,,2020-01-20T05:55:03,2020-01-20T18:50:04,0.91,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-21,26.7,19.7,22.1,26.7,19.7,22.1,19,83.68,0,,0,,,,,16.7,291.7,1010.5,5.9,10.9,,,0,,2020-01-21T05:55:38,2020-01-21T18:50:04,0.95,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-22,22.7,19.6,20.6,22.7,19.6,20.6,18.7,89.06,0,,0,,,,,16.3,325.3,1010.5,6,10.9,,,0,,2020-01-22T05:56:12,2020-01-22T18:50:03,0.98,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-23,24.6,18.7,21,24.6,18.7,21,19,88.83,0,,0,,,,,19.7,319.2,1009.7,20.8,10.3,,,0,,2020-01-23T05:56:46,2020-01-23T18:50:01,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-24,23.1,19.1,20.5,23.1,19.1,20.5,19.1,91.47,0,,0,,,,48.2,29,323,1010,15.7,9.1,,,0,,2020-01-24T05:57:19,2020-01-24T18:49:57,1,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-25,23.9,19.2,21,23.9,19.2,21,19.5,91.56,0,,0,,,,,23.7,315.8,1012.8,44.9,6.3,,,0,,2020-01-25T05:57:52,2020-01-25T18:49:53,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-26,26,18.7,20.6,26,18.7,20.6,19.1,91.67,0,,0,,,,,14.1,293.3,1013.6,16.3,7.9,,,0,,2020-01-26T05:58:25,2020-01-26T18:49:47,0.01,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-27,26.6,18.7,21.7,26.6,18.7,21.7,19.1,85.98,0,,0,,,,,23.6,262.8,1013.9,25.8,10.8,,,0,,2020-01-27T05:58:58,2020-01-27T18:49:40,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-28,27,18.7,21.5,28.5,18.7,21.7,18.6,84.45,0,,0,,,,,21.9,296.8,1015.2,31.7,10.7,,,0,,2020-01-28T05:59:29,2020-01-28T18:49:32,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-29,27.1,18.2,23.1,27.8,18.2,23.2,17.9,74.08,0,,0,,,,,15.1,166.8,1015.6,17,10.7,,,0,,2020-01-29T06:00:01,2020-01-29T18:49:22,0.09,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-01-30,29.7,18.7,22.8,29.9,18.7,22.9,17.5,74.67,0,,0,,,,,10.1,165.1,1016.2,0.5,10.9,,,0,,2020-01-30T06:00:32,2020-01-30T18:49:12,0.13,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86736099999,86716099999"
Brazil,2020-01-31,30.2,19.2,24.5,30.2,19.2,24.6,16.9,65.21,0,,0,,,,,12.6,109.3,1015.1,3.6,10.9,,,0,,2020-01-31T06:01:02,2020-01-31T18:49:00,0.18,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-01,29.7,17.7,24.2,29.1,17.7,24.1,16.2,64.67,0,,0,,,,,11.2,120.3,1014.8,6.5,10.9,,,0,,2020-02-01T06:01:32,2020-02-01T18:48:47,0.22,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-02,29.2,19.2,24.4,29.3,19.2,24.5,17.2,66.64,0,,0,,,,,14.5,130.4,1014,0.5,10.9,,,0,,2020-02-02T06:02:02,2020-02-02T18:48:33,0.27,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-03,30.1,18.1,23.7,30,18.1,23.7,17.3,70.13,0,,0,,,,,13,167.8,1013.9,2.5,10.9,,,0,,2020-02-03T06:02:31,2020-02-03T18:48:18,0.32,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-04,27.9,18.7,22.1,29.5,18.7,22.3,17.9,78.43,0,,0,,,,55.4,23.1,269.5,1015.3,22.9,10.7,,,0,,2020-02-04T06:02:59,2020-02-04T18:48:02,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-05,28.2,18.1,22.4,28.5,18.1,22.5,17.3,75.23,0,,0,,,,,12.8,252.2,1014.4,10.2,10.2,,,0,,2020-02-05T06:03:27,2020-02-05T18:47:45,0.41,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-06,25,18.6,21,25,18.6,21,19,88.88,0,,0,,,,,20,207.7,1014.9,35.4,9.9,,,0,,2020-02-06T06:03:54,2020-02-06T18:47:27,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-07,23.9,16.7,19.1,23.9,16.7,19.1,17.5,91.01,0,,0,,,,,21.2,49.1,1013.9,15.1,8.8,,,0,,2020-02-07T06:04:21,2020-02-07T18:47:08,0.48,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-08,22,17.7,18.8,22,17.7,18.8,17.7,93.73,0,,0,,,,,19.1,38.4,1014.6,12,9.4,,,0,,2020-02-08T06:04:47,2020-02-08T18:46:47,0.5,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-09,23,16.7,19.7,23,16.7,19.7,17.4,87,0,,0,,,,,24.5,233.9,1017.2,19.3,10.2,,,0,,2020-02-09T06:05:13,2020-02-09T18:46:26,0.5,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-10,28.2,17.7,21.5,28.2,17.7,21.6,17.2,78.55,0,,0,,,,,19.1,280,1017.4,10.8,10.9,,,0,,2020-02-10T06:05:38,2020-02-10T18:46:03,0.52,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-11,27.7,18.7,22.5,28.5,18.7,22.6,18.3,78.45,0,,0,,,,,14.4,174.9,1015.2,13.2,10.9,,,0,,2020-02-11T06:06:03,2020-02-11T18:45:40,0.53,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-12,25.6,18.7,21.7,25.6,18.7,21.8,18.5,82.62,0,,0,,,,,14.1,139.6,1014.5,3.4,10.9,,,0,,2020-02-12T06:06:27,2020-02-12T18:45:15,0.57,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-13,27.2,18.7,21.9,28,18.7,22,18.2,81.51,0,,0,,,,,16.2,182.3,1014.5,5.4,10.8,,,0,,2020-02-13T06:06:50,2020-02-13T18:44:50,0.62,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-14,27.6,18.7,22.2,28.3,18.7,22.2,18.5,80.87,0,,0,,,,,12.9,200.1,1014.5,4.2,10.9,,,0,,2020-02-14T06:07:13,2020-02-14T18:44:24,0.67,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-15,27.2,17.2,21.8,28,17.2,21.9,18.1,80.5,0,,0,,,,,10.9,187.8,1014.3,0.5,10.9,,,0,,2020-02-15T06:07:35,2020-02-15T18:43:57,0.73,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
Brazil,2020-02-16,27.7,18.7,22.9,28.6,18.7,23.1,18.5,77.21,0,,0,,,,,11.9,132.4,1013.8,4.1,10.8,,,0,,2020-02-16T06:07:57,2020-02-16T18:43:28,0.78,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86736099999,86716099999"
