name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Goias,2020-01-01,32.2,22.2,26.4,34.8,22.2,27.4,20.5,70.89,0,,0,,,,,14,195.7,1009,0,,,,0,,2020-01-01T05:52:18,2020-01-01T18:55:38,0.17,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-02,28.7,23.6,25.8,31,23.6,26.6,20.6,73.63,0,,0,,,,,13.3,229,1010.1,0,,,,0,,2020-01-02T05:52:53,2020-01-02T18:55:59,0.22,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-03,28.7,22.6,25.2,31.4,22.6,25.8,20.8,77.03,0,,0,,,,,14,241.3,1010.5,0,,,,0,,2020-01-03T05:53:29,2020-01-03T18:56:19,0.26,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-04,27.2,23.1,24.1,29.6,23.1,24.3,21.9,87.43,0,,0,,,,,15.5,279.1,1009.3,0,,,,0,,2020-01-04T05:54:04,2020-01-04T18:56:38,0.31,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-05,29.1,22.1,24,32.7,22.1,24.5,22,88.8,0,,0,,,,,11.9,223.8,1009.4,0,,,,0,,2020-01-05T05:54:40,2020-01-05T18:56:56,0.36,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-06,30.1,21.7,25,32.5,21.7,25.6,21.4,81.45,0,,0,,,,,16.9,243.3,1010.6,0,,,,0,,2020-01-06T05:55:16,2020-01-06T18:57:13,0.4,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-07,27.6,21.7,23.5,30.2,21.7,23.7,21.7,89.98,0,,0,,,,,10.4,250,1012.7,0,,,,0,,2020-01-07T05:55:52,2020-01-07T18:57:29,0.44,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-08,31.7,21.1,26.1,34,21.1,27.1,21.3,76.87,0,,0,,,,,8.3,177,1011.9,0,,,,0,,2020-01-08T05:56:28,2020-01-08T18:57:44,0.47,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-09,29.7,22.1,25.5,31.4,22.1,26.1,21.2,78.51,0,,0,,,,,7.9,184.6,1013,0,,,,0,,2020-01-09T05:57:05,2020-01-09T18:57:57,0.49,Clear,Clear conditions throughout the day.,clear-day,86712099999
Goias,2020-01-10,33.7,22.2,28.2,37.4,22.2,30,21.1,67.46,0,,0,,,,,7.6,170,1010.2,0,,,,0,,2020-01-10T05:57:41,2020-01-10T18:58:10,0.5,Clear,Clear conditions throughout the day.,clear-day,86712099999
